source,target,start,end
MTakeuspa,delucca,2018-07-24 10:40:12,2018-07-24 10:40:12
JoaoEleitor,delucca,2018-07-24 10:40:02,2018-07-24 10:40:02
amarcosgeo,delucca,2018-07-24 10:39:32,2018-07-24 10:39:32
Divergente_80,delucca,2018-07-24 10:39:30,2018-07-24 10:39:30
fohn1991,delucca,2018-07-24 10:39:24,2018-07-24 10:39:24
jdanilobarbosa,delucca,2018-07-24 10:39:00,2018-07-24 10:39:00
edgarkhouri,cyrusafa,2018-07-24 10:38:28,2018-07-24 10:38:28
MTakeuspa,delucca,2018-07-24 10:38:27,2018-07-24 10:38:27
alerosavaz,delucca,2018-07-24 10:38:07,2018-07-24 10:38:07
LisianeAcosta,delucca,2018-07-24 10:37:56,2018-07-24 10:37:56
HM_Smithy,Frmarchetaria,2018-07-24 10:37:53,2018-07-24 10:37:53
anchor_jac,delucca,2018-07-24 10:37:28,2018-07-24 10:37:28
naathz_,delucca,2018-07-24 10:37:27,2018-07-24 10:37:27
luisrog43889008,delucca,2018-07-24 10:35:38,2018-07-24 10:35:38
crncosta,delucca,2018-07-24 10:35:16,2018-07-24 10:35:16
galo_vasco,delucca,2018-07-24 10:35:12,2018-07-24 10:35:12
will86,cyrusafa,2018-07-24 10:34:45,2018-07-24 10:34:45
juliamacedox,delucca,2018-07-24 10:34:40,2018-07-24 10:34:40
LucianaXViana,delucca,2018-07-24 10:34:30,2018-07-24 10:34:30
biancandrade,delucca,2018-07-24 10:34:19,2018-07-24 10:34:19
tatoribeiroinc,delucca,2018-07-24 10:34:04,2018-07-24 10:34:04
jboiteux,delucca,2018-07-24 10:33:11,2018-07-24 10:33:11
Tashaokereke,delucca,2018-07-24 10:32:43,2018-07-24 10:32:43
LarissaUliana,cyrusafa,2018-07-24 10:32:26,2018-07-24 10:32:26
luckvilla,delucca,2018-07-24 10:32:07,2018-07-24 10:32:07
jorge_arago,delucca,2018-07-24 10:31:21,2018-07-24 10:31:21
Will_Kirsch,delucca,2018-07-24 10:29:16,2018-07-24 10:29:16
MolinaGusta,ManuelaDavila,2018-07-24 10:28:53,2018-07-24 10:28:53
Alex_spa_,cyrusafa,2018-07-24 10:28:40,2018-07-24 10:28:40
LeaoSanches,cyrusafa,2018-07-24 10:28:23,2018-07-24 10:28:23
ptfreire,delucca,2018-07-24 10:28:19,2018-07-24 10:28:19
carlosffrank,delucca,2018-07-24 10:27:47,2018-07-24 10:27:47
LeaoSanches,ManuelaDavila,2018-07-24 10:27:37,2018-07-24 10:27:37
Alex_spa_,delucca,2018-07-24 10:27:34,2018-07-24 10:27:34
celinhocruzeiro,delucca,2018-07-24 10:27:04,2018-07-24 10:27:04
tocadolobo,cyrusafa,2018-07-24 10:26:18,2018-07-24 10:26:18
pablomchaer,delucca,2018-07-24 10:24:43,2018-07-24 10:24:43
pkelen,delucca,2018-07-24 10:24:30,2018-07-24 10:24:30
BelemSjp,delucca,2018-07-24 10:23:49,2018-07-24 10:23:49
macsanto787,delucca,2018-07-24 10:23:41,2018-07-24 10:23:41
marciabianco,cyrusafa,2018-07-24 10:23:04,2018-07-24 10:23:04
claudiofnegrao,delucca,2018-07-24 10:22:48,2018-07-24 10:22:48
claudiofnegrao,delucca,2018-07-24 10:22:23,2018-07-24 10:22:23
Austregsilo1,delucca,2018-07-24 10:22:13,2018-07-24 10:22:13
marciabianco,delucca,2018-07-24 10:22:13,2018-07-24 10:22:13
claudiofnegrao,delucca,2018-07-24 10:22:08,2018-07-24 10:22:08
JoceyrR,delucca,2018-07-24 10:21:43,2018-07-24 10:21:43
pablomchaer,delucca,2018-07-24 10:21:16,2018-07-24 10:21:16
LuizMerc,delucca,2018-07-24 10:21:01,2018-07-24 10:21:01
Cassunungarosa,delucca,2018-07-24 10:20:55,2018-07-24 10:20:55
Austregsilo1,delucca,2018-07-24 10:20:34,2018-07-24 10:20:34
julioborgesbr,delucca,2018-07-24 10:20:33,2018-07-24 10:20:33
Cavalcanti13R,delucca,2018-07-24 10:20:21,2018-07-24 10:20:21
JoceyrR,cyrusafa,2018-07-24 10:20:18,2018-07-24 10:20:18
wagnerlucio59,cyrusafa,2018-07-24 10:20:12,2018-07-24 10:20:12
Mari_Jurema,delucca,2018-07-24 10:19:33,2018-07-24 10:19:33
MarceloACoelho1,delucca,2018-07-24 10:19:22,2018-07-24 10:19:22
_o_demo_,ManuelaDavila,2018-07-24 10:19:18,2018-07-24 10:19:18
Cassunungarosa,delucca,2018-07-24 10:18:29,2018-07-24 10:18:29
claudiocalente,delucca,2018-07-24 10:18:25,2018-07-24 10:18:25
eduardoramosde5,delucca,2018-07-24 10:18:16,2018-07-24 10:18:16
wilsondenotari,delucca,2018-07-24 10:17:44,2018-07-24 10:17:44
joaomaringa,cyrusafa,2018-07-24 10:17:36,2018-07-24 10:17:36
tiagocido,ManuelaDavila,2018-07-24 10:17:05,2018-07-24 10:17:05
claudia_abreu22,delucca,2018-07-24 10:16:03,2018-07-24 10:16:03
mariav_xx,cyrusafa,2018-07-24 10:15:43,2018-07-24 10:15:43
LuizMerc,delucca,2018-07-24 10:15:42,2018-07-24 10:15:42
myialine,cyrusafa,2018-07-24 10:15:32,2018-07-24 10:15:32
agesantana,delucca,2018-07-24 10:15:18,2018-07-24 10:15:18
Dulce_Mara,delucca,2018-07-24 10:15:12,2018-07-24 10:15:12
ptfreire,delucca,2018-07-24 10:15:07,2018-07-24 10:15:07
marchamulheres,_ana_pimentel,2018-07-24 10:15:00,2018-07-24 10:15:00
wilsondenotari,delucca,2018-07-24 10:14:14,2018-07-24 10:14:14
jefnogueira,ManuelaDavila,2018-07-24 10:13:58,2018-07-24 10:13:58
tmariadiego,delucca,2018-07-24 10:12:15,2018-07-24 10:12:15
joaomaringa,delucca,2018-07-24 10:11:42,2018-07-24 10:11:42
Carcamanos,cyrusafa,2018-07-24 10:11:32,2018-07-24 10:11:32
_ta_nia,delucca,2018-07-24 10:11:05,2018-07-24 10:11:05
Alex_luz,delucca,2018-07-24 10:09:53,2018-07-24 10:09:53
clauaengenheira,delucca,2018-07-24 10:09:48,2018-07-24 10:09:48
arleneXcosta,cyrusafa,2018-07-24 10:08:32,2018-07-24 10:08:32
arleneXcosta,delucca,2018-07-24 10:08:27,2018-07-24 10:08:27
eduardoramosde5,cyrusafa,2018-07-24 10:08:27,2018-07-24 10:08:27
arte_prima,cyrusafa,2018-07-24 10:07:55,2018-07-24 10:07:55
tassonunesjr,delucca,2018-07-24 10:07:15,2018-07-24 10:07:15
arte_prima,delucca,2018-07-24 10:07:08,2018-07-24 10:07:08
skDaniela,delucca,2018-07-24 10:06:57,2018-07-24 10:06:57
PedroCastro2_,IgorDrumond,2018-07-24 10:06:02,2018-07-24 10:06:02
arte_prima,delucca,2018-07-24 10:05:55,2018-07-24 10:05:55
wilsondenotari,delucca,2018-07-24 10:05:35,2018-07-24 10:05:35
JotaKar,delucca,2018-07-24 10:05:25,2018-07-24 10:05:25
tiagojack,camaradabruxo,2018-07-24 10:05:07,2018-07-24 10:05:07
DrChiquinho_,delucca,2018-07-24 10:05:06,2018-07-24 10:05:06
claudiodebarbos,delucca,2018-07-24 10:04:48,2018-07-24 10:04:48
solodeflauta,delucca,2018-07-24 10:04:20,2018-07-24 10:04:20
_pedroborges_,delucca,2018-07-24 10:03:42,2018-07-24 10:03:42
PereiraSdc,delucca,2018-07-24 10:02:52,2018-07-24 10:02:52
luisgomesrj,delucca,2018-07-24 10:01:47,2018-07-24 10:01:47
Dulce_Mara,delucca,2018-07-24 09:59:22,2018-07-24 09:59:22
wilsondenotari,delucca,2018-07-24 09:58:54,2018-07-24 09:58:54
wsclementino,LeomarCLima,2018-07-24 09:58:14,2018-07-24 09:58:14
asampaio,delucca,2018-07-24 09:58:00,2018-07-24 09:58:00
clauaengenheira,cyrusafa,2018-07-24 09:57:36,2018-07-24 09:57:36
mbfnew,delucca,2018-07-24 09:56:34,2018-07-24 09:56:34
vivasprado,cyrusafa,2018-07-24 09:56:29,2018-07-24 09:56:29
dani_k,delucca,2018-07-24 09:55:52,2018-07-24 09:55:52
taminebb,delucca,2018-07-24 09:54:56,2018-07-24 09:54:56
EVOLUTWEET,delucca,2018-07-24 09:53:44,2018-07-24 09:53:44
alessandro_says,delucca,2018-07-24 09:53:43,2018-07-24 09:53:43
vgarzon,delucca,2018-07-24 09:53:14,2018-07-24 09:53:14
JorgeRomanholi2,delucca,2018-07-24 09:51:16,2018-07-24 09:51:16
thiagofc1982,DoraMonts,2018-07-24 09:51:12,2018-07-24 09:51:12
mariadocarmo163,delucca,2018-07-24 09:50:42,2018-07-24 09:50:42
lzantt,delucca,2018-07-24 09:50:20,2018-07-24 09:50:20
solodeflauta,cyrusafa,2018-07-24 09:49:28,2018-07-24 09:49:28
rone_pa,delucca,2018-07-24 09:49:27,2018-07-24 09:49:27
estersonsilva,delucca,2018-07-24 09:49:22,2018-07-24 09:49:22
AdrianaNunes03,delucca,2018-07-24 09:49:20,2018-07-24 09:49:20
MariluParreiras,delucca,2018-07-24 09:48:54,2018-07-24 09:48:54
canovelino,delucca,2018-07-24 09:48:26,2018-07-24 09:48:26
AndreSedlacek,delucca,2018-07-24 09:48:07,2018-07-24 09:48:07
rone_pa,delucca,2018-07-24 09:47:40,2018-07-24 09:47:40
dani_k,delucca,2018-07-24 09:46:58,2018-07-24 09:46:58
anascatone,delucca,2018-07-24 09:46:56,2018-07-24 09:46:56
rone_pa,delucca,2018-07-24 09:46:47,2018-07-24 09:46:47
rone_pa,delucca,2018-07-24 09:46:37,2018-07-24 09:46:37
estersonsilva,delucca,2018-07-24 09:46:24,2018-07-24 09:46:24
mainthemain,delucca,2018-07-24 09:45:47,2018-07-24 09:45:47
SelmoP,delucca,2018-07-24 09:45:46,2018-07-24 09:45:46
anaviana91,delucca,2018-07-24 09:44:58,2018-07-24 09:44:58
woodstock_59,delucca,2018-07-24 09:41:44,2018-07-24 09:41:44
fabiocostacg,delucca,2018-07-24 09:41:04,2018-07-24 09:41:04
LeaoSanches,delucca,2018-07-24 09:40:46,2018-07-24 09:40:46
dandoruim,delucca,2018-07-24 09:40:11,2018-07-24 09:40:11
fariaeliane,delucca,2018-07-24 09:39:42,2018-07-24 09:39:42
ernani_neto,delucca,2018-07-24 09:38:40,2018-07-24 09:38:40
TayanneFrulani,jeanmistrelli,2018-07-24 09:38:33,2018-07-24 09:38:33
calexsamp,delucca,2018-07-24 09:38:29,2018-07-24 09:38:29
chicofitipaldi,delucca,2018-07-24 09:38:28,2018-07-24 09:38:28
PiumhiAbacaxi,_tcandido,2018-07-24 09:38:17,2018-07-24 09:38:17
Hendrix_Careta,delucca,2018-07-24 09:38:15,2018-07-24 09:38:15
Jal1974,delucca,2018-07-24 09:37:46,2018-07-24 09:37:46
nidles,delucca,2018-07-24 09:36:47,2018-07-24 09:36:47
prado,delucca,2018-07-24 09:35:55,2018-07-24 09:35:55
MarcosI25,delucca,2018-07-24 09:33:24,2018-07-24 09:33:24
MarcosPauloAlon,cyrusafa,2018-07-24 09:33:14,2018-07-24 09:33:14
alexcarmo72,cyrusafa,2018-07-24 09:33:09,2018-07-24 09:33:09
danielgasparoto,delucca,2018-07-24 09:31:52,2018-07-24 09:31:52
lucasavieira,delucca,2018-07-24 09:31:29,2018-07-24 09:31:29
oliveirapsb,delucca,2018-07-24 09:28:11,2018-07-24 09:28:11
_alinegranger,cyrusafa,2018-07-24 09:28:00,2018-07-24 09:28:00
Jose23578783,delucca,2018-07-24 09:27:11,2018-07-24 09:27:11
belle_marqs,cyrusafa,2018-07-24 09:25:38,2018-07-24 09:25:38
marceloteo67,delucca,2018-07-24 09:25:01,2018-07-24 09:25:01
BcIolandaBC,delucca,2018-07-24 09:23:21,2018-07-24 09:23:21
queiroz_gerson,delucca,2018-07-24 09:22:31,2018-07-24 09:22:31
pcazel,delucca,2018-07-24 09:21:01,2018-07-24 09:21:01
BcIolandaBC,delucca,2018-07-24 09:19:16,2018-07-24 09:19:16
O_Graziano,danielaabade,2018-07-24 09:18:36,2018-07-24 09:18:36
geancarlobc,delucca,2018-07-24 09:17:32,2018-07-24 09:17:32
Oscar__Paz,cyrusafa,2018-07-24 09:17:32,2018-07-24 09:17:32
EnioTaniguti,delucca,2018-07-24 09:16:03,2018-07-24 09:16:03
tyrsomeireles,delucca,2018-07-24 09:15:49,2018-07-24 09:15:49
Oscar__Paz,delucca,2018-07-24 09:15:48,2018-07-24 09:15:48
MoyenneA,delucca,2018-07-24 09:15:03,2018-07-24 09:15:03
fioreze2004,delucca,2018-07-24 09:13:59,2018-07-24 09:13:59
amulherqueanda,delucca,2018-07-24 09:13:49,2018-07-24 09:13:49
singerfabio,delucca,2018-07-24 09:13:33,2018-07-24 09:13:33
jwilsoncarvalho,delucca,2018-07-24 09:13:30,2018-07-24 09:13:30
oliveirapsb,delucca,2018-07-24 09:12:57,2018-07-24 09:12:57
Veto_Soares,delucca,2018-07-24 09:12:30,2018-07-24 09:12:30
FerLassance,delucca,2018-07-24 09:12:25,2018-07-24 09:12:25
Austregsilo1,delucca,2018-07-24 09:12:04,2018-07-24 09:12:04
solodeflauta,delucca,2018-07-24 09:10:58,2018-07-24 09:10:58
theleft_side,delucca,2018-07-24 09:10:30,2018-07-24 09:10:30
lucasavieira,delucca,2018-07-24 09:10:11,2018-07-24 09:10:11
Punkpassos,_lucifri,2018-07-24 09:09:57,2018-07-24 09:09:57
denisecostadec,delucca,2018-07-24 09:09:42,2018-07-24 09:09:42
michelmcf,delucca,2018-07-24 09:09:31,2018-07-24 09:09:31
fatimaleaum,delucca,2018-07-24 09:09:20,2018-07-24 09:09:20
oliveirapsb,cyrusafa,2018-07-24 09:09:08,2018-07-24 09:09:08
IZILDAMARIADE,_lucifri,2018-07-24 09:07:23,2018-07-24 09:07:23
guilhermekroger,delucca,2018-07-24 09:05:12,2018-07-24 09:05:12
Punkpassos,delucca,2018-07-24 09:04:43,2018-07-24 09:04:43
carlatoscan,_lucifri,2018-07-24 09:04:33,2018-07-24 09:04:33
carlatoscan,delucca,2018-07-24 09:04:19,2018-07-24 09:04:19
PaulaSmac,delucca,2018-07-24 09:03:11,2018-07-24 09:03:11
luciaguima1,delucca,2018-07-24 09:02:06,2018-07-24 09:02:06
Dezao1977,cyrusafa,2018-07-24 09:01:03,2018-07-24 09:01:03
BcIolandaBC,delucca,2018-07-24 09:00:40,2018-07-24 09:00:40
Dezao1977,cyrusafa,2018-07-24 08:59:47,2018-07-24 08:59:47
rodrigoprado,delucca,2018-07-24 08:59:25,2018-07-24 08:59:25
MCMagnus_,delucca,2018-07-24 08:58:26,2018-07-24 08:58:26
mauricearodrig,delucca,2018-07-24 08:56:53,2018-07-24 08:56:53
9deazevedo,delucca,2018-07-24 08:56:37,2018-07-24 08:56:37
RuyMarcosruy65,delucca,2018-07-24 08:54:43,2018-07-24 08:54:43
PaulaSmac,delucca,2018-07-24 08:54:32,2018-07-24 08:54:32
rosarraesampaio,delucca,2018-07-24 08:53:00,2018-07-24 08:53:00
JoseeMadeira,delucca,2018-07-24 08:52:23,2018-07-24 08:52:23
marmoriva,delucca,2018-07-24 08:52:13,2018-07-24 08:52:13
Leabhmg,delucca,2018-07-24 08:50:47,2018-07-24 08:50:47
willowjdi,delucca,2018-07-24 08:50:08,2018-07-24 08:50:08
eievaandrade,cyrusafa,2018-07-24 08:48:47,2018-07-24 08:48:47
willowjdi,delucca,2018-07-24 08:47:32,2018-07-24 08:47:32
Anamarineida,delucca,2018-07-24 08:47:11,2018-07-24 08:47:11
jlfleite,delucca,2018-07-24 08:46:14,2018-07-24 08:46:14
jami_lle,delucca,2018-07-24 08:45:00,2018-07-24 08:45:00
SilMarq,delucca,2018-07-24 08:43:57,2018-07-24 08:43:57
CNobumoto,delucca,2018-07-24 08:43:25,2018-07-24 08:43:25
thirzasv,delucca,2018-07-24 08:41:49,2018-07-24 08:41:49
Fabiano_30,cyrusafa,2018-07-24 08:40:36,2018-07-24 08:40:36
FatimaS25987223,delucca,2018-07-24 08:37:08,2018-07-24 08:37:08
freirecristiane,cyrusafa,2018-07-24 08:34:50,2018-07-24 08:34:50
Fabiano_30,delucca,2018-07-24 08:33:13,2018-07-24 08:33:13
ronneynogueira,delucca,2018-07-24 08:32:57,2018-07-24 08:32:57
lucasavieira,cyrusafa,2018-07-24 08:32:12,2018-07-24 08:32:12
MarceloJGonca,delucca,2018-07-24 08:31:13,2018-07-24 08:31:13
lucasavieira,delucca,2018-07-24 08:30:21,2018-07-24 08:30:21
MarceloJGonca,delucca,2018-07-24 08:30:10,2018-07-24 08:30:10
Fabiano_30,cyrusafa,2018-07-24 08:29:36,2018-07-24 08:29:36
cel_lourenco,delucca,2018-07-24 08:29:09,2018-07-24 08:29:09
loppes1,cyrusafa,2018-07-24 08:28:41,2018-07-24 08:28:41
LuccaFantuzzi,delucca,2018-07-24 08:27:51,2018-07-24 08:27:51
Brunoepronto,delucca,2018-07-24 08:27:03,2018-07-24 08:27:03
lucasavieira,cyrusafa,2018-07-24 08:25:50,2018-07-24 08:25:50
__fatimasouza,delucca,2018-07-24 08:25:40,2018-07-24 08:25:40
rjdm007,delucca,2018-07-24 08:24:29,2018-07-24 08:24:29
joaomaringa,delucca,2018-07-24 08:23:46,2018-07-24 08:23:46
mes_betania,cyrusafa,2018-07-24 08:23:28,2018-07-24 08:23:28
cel_lourenco,delucca,2018-07-24 08:20:07,2018-07-24 08:20:07
narradorjack,cyrusafa,2018-07-24 08:15:51,2018-07-24 08:15:51
renatamagalhaes,delucca,2018-07-24 08:15:43,2018-07-24 08:15:43
Niellpinheiro,delucca,2018-07-24 08:15:27,2018-07-24 08:15:27
narradorjack,delucca,2018-07-24 08:13:44,2018-07-24 08:13:44
cel_lourenco,delucca,2018-07-24 08:10:14,2018-07-24 08:10:14
macacosurdo,cyrusafa,2018-07-24 08:03:00,2018-07-24 08:03:00
_gumleao,delucca,2018-07-24 08:02:48,2018-07-24 08:02:48
marcovaganet,delucca,2018-07-24 07:59:26,2018-07-24 07:59:26
menandroNeto,delucca,2018-07-24 07:52:27,2018-07-24 07:52:27
MarceloACoelho1,delucca,2018-07-24 07:49:37,2018-07-24 07:49:37
Ed_Oliiver,delucca,2018-07-24 07:46:29,2018-07-24 07:46:29
Monica_Sousa_br,delucca,2018-07-24 07:45:55,2018-07-24 07:45:55
carloscareqa,delucca,2018-07-24 07:44:13,2018-07-24 07:44:13
DerHauptmann81,delucca,2018-07-24 07:41:24,2018-07-24 07:41:24
onca_vermelha,delucca,2018-07-24 07:35:42,2018-07-24 07:35:42
GildaMariadePai,delucca,2018-07-24 07:29:30,2018-07-24 07:29:30
feministona,delucca,2018-07-24 07:26:50,2018-07-24 07:26:50
diariodeumpe,delucca,2018-07-24 07:21:15,2018-07-24 07:21:15
FabianoSSantana,delucca,2018-07-24 07:19:29,2018-07-24 07:19:29
SilviaRoldaoMat,delucca,2018-07-24 06:59:50,2018-07-24 06:59:50
MaxRothloo,delucca,2018-07-24 06:58:57,2018-07-24 06:58:57
SilviaRoldaoMat,LeomarCLima,2018-07-24 06:58:46,2018-07-24 06:58:46
SilviaRoldaoMat,cyrusafa,2018-07-24 06:57:35,2018-07-24 06:57:35
ubuntroll,cyrusafa,2018-07-24 06:56:21,2018-07-24 06:56:21
viktista,delucca,2018-07-24 06:54:28,2018-07-24 06:54:28
meilingtamiozzo,delucca,2018-07-24 06:52:34,2018-07-24 06:52:34
dzotti,faconti,2018-07-24 06:52:01,2018-07-24 06:52:01
RamilsomD,delucca,2018-07-24 06:50:38,2018-07-24 06:50:38
gagpepe27,delucca,2018-07-24 06:46:20,2018-07-24 06:46:20
FredericoGuima6,cyrusafa,2018-07-24 06:42:36,2018-07-24 06:42:36
willdeysner0,cyrusafa,2018-07-24 06:39:05,2018-07-24 06:39:05
JamileAlabi,delucca,2018-07-24 06:37:01,2018-07-24 06:37:01
JocaldaSilva,delucca,2018-07-24 06:36:40,2018-07-24 06:36:40
pinheiro14thais,delucca,2018-07-24 06:26:10,2018-07-24 06:26:10
FredericoGuima6,cyrusafa,2018-07-24 06:26:07,2018-07-24 06:26:07
FredericoGuima6,delucca,2018-07-24 06:24:05,2018-07-24 06:24:05
dozepontozero,delucca,2018-07-24 06:23:37,2018-07-24 06:23:37
fernandafc48,delucca,2018-07-24 06:22:34,2018-07-24 06:22:34
zepilintrah,delucca,2018-07-24 06:21:30,2018-07-24 06:21:30
FredericoGuima6,delucca,2018-07-24 06:19:50,2018-07-24 06:19:50
feduambiental,delucca,2018-07-24 06:19:07,2018-07-24 06:19:07
guigaxrocha,delucca,2018-07-24 06:19:00,2018-07-24 06:19:00
jose_coutinho,delucca,2018-07-24 06:17:17,2018-07-24 06:17:17
FredericoGuima6,cyrusafa,2018-07-24 06:16:15,2018-07-24 06:16:15
fabiodier,cyrusafa,2018-07-24 06:11:57,2018-07-24 06:11:57
LeelaAddams,delucca,2018-07-24 06:08:43,2018-07-24 06:08:43
mau10,delucca,2018-07-24 06:01:51,2018-07-24 06:01:51
mau10,cyrusafa,2018-07-24 06:01:12,2018-07-24 06:01:12
adilsonlula,delucca,2018-07-24 05:59:35,2018-07-24 05:59:35
mahagess,cyrusafa,2018-07-24 05:58:38,2018-07-24 05:58:38
franciscoamr,delucca,2018-07-24 05:56:16,2018-07-24 05:56:16
desproposit,delucca,2018-07-24 05:54:57,2018-07-24 05:54:57
feduambiental,delucca,2018-07-24 05:52:43,2018-07-24 05:52:43
cjsbeirao,delucca,2018-07-24 05:52:03,2018-07-24 05:52:03
feduambiental,delucca,2018-07-24 05:50:02,2018-07-24 05:50:02
guguiam,delucca,2018-07-24 05:49:11,2018-07-24 05:49:11
MadameGriffin,delucca,2018-07-24 05:47:10,2018-07-24 05:47:10
franciscoamr,delucca,2018-07-24 05:46:23,2018-07-24 05:46:23
feduambiental,delucca,2018-07-24 05:46:15,2018-07-24 05:46:15
NathaliiaRegina,cyrusafa,2018-07-24 05:45:09,2018-07-24 05:45:09
FL4V10C4RV4LH0,delucca,2018-07-24 05:44:34,2018-07-24 05:44:34
SergiusAugustus,delucca,2018-07-24 05:43:58,2018-07-24 05:43:58
samorzinha,delucca,2018-07-24 05:43:45,2018-07-24 05:43:45
feduambiental,delucca,2018-07-24 05:43:41,2018-07-24 05:43:41
paldana13,delucca,2018-07-24 05:39:27,2018-07-24 05:39:27
_eusoufelipe,delucca,2018-07-24 05:39:11,2018-07-24 05:39:11
TG_Meirelles,delucca,2018-07-24 05:38:22,2018-07-24 05:38:22
g_penachioni,cyrusafa,2018-07-24 05:35:57,2018-07-24 05:35:57
samorzinha,delucca,2018-07-24 05:34:30,2018-07-24 05:34:30
mrrogens,delucca,2018-07-24 05:32:55,2018-07-24 05:32:55
chrisoliiiveira,delucca,2018-07-24 05:30:59,2018-07-24 05:30:59
chrisoliiiveira,delucca,2018-07-24 05:30:47,2018-07-24 05:30:47
chrisoliiiveira,delucca,2018-07-24 05:29:25,2018-07-24 05:29:25
gustavoofilipe,cyrusafa,2018-07-24 05:21:32,2018-07-24 05:21:32
OlivetanSouza,cyrusafa,2018-07-24 05:18:41,2018-07-24 05:18:41
MarceloACoelho1,Frmarchetaria,2018-07-24 05:17:52,2018-07-24 05:17:52
ascgem,delucca,2018-07-24 05:13:55,2018-07-24 05:13:55
Observar_,cyrusafa,2018-07-24 05:11:36,2018-07-24 05:11:36
Observar_,delucca,2018-07-24 05:11:29,2018-07-24 05:11:29
fabiosoares4444,cakiozz,2018-07-24 05:11:22,2018-07-24 05:11:22
Observar_,cyrusafa,2018-07-24 05:11:16,2018-07-24 05:11:16
Observar_,cyrusafa,2018-07-24 05:11:10,2018-07-24 05:11:10
Observar_,delucca,2018-07-24 05:10:53,2018-07-24 05:10:53
Observar_,cyrusafa,2018-07-24 05:10:32,2018-07-24 05:10:32
Observar_,delucca,2018-07-24 05:10:26,2018-07-24 05:10:26
NessiasP,delucca,2018-07-24 05:10:21,2018-07-24 05:10:21
Observar_,cyrusafa,2018-07-24 05:10:13,2018-07-24 05:10:13
Observar_,cyrusafa,2018-07-24 05:10:07,2018-07-24 05:10:07
Observar_,edvardvallek,2018-07-24 05:09:56,2018-07-24 05:09:56
Observar_,cyrusafa,2018-07-24 05:09:24,2018-07-24 05:09:24
Observar_,cyrusafa,2018-07-24 05:09:06,2018-07-24 05:09:06
m_lu15,delucca,2018-07-24 05:09:00,2018-07-24 05:09:00
Observar_,delucca,2018-07-24 05:08:57,2018-07-24 05:08:57
Observar_,LeomarCLima,2018-07-24 05:08:39,2018-07-24 05:08:39
eightdestiny,delucca,2018-07-24 05:08:38,2018-07-24 05:08:38
Observar_,AlemD4sSombras,2018-07-24 05:08:30,2018-07-24 05:08:30
pestodeboldo,delucca,2018-07-24 05:08:25,2018-07-24 05:08:25
Observar_,delucca,2018-07-24 05:08:20,2018-07-24 05:08:20
Observar_,delucca,2018-07-24 05:08:10,2018-07-24 05:08:10
Observar_,delucca,2018-07-24 05:07:46,2018-07-24 05:07:46
Observar_,delucca,2018-07-24 05:07:34,2018-07-24 05:07:34
bebummineiro,cyrusafa,2018-07-24 05:07:33,2018-07-24 05:07:33
Observar_,delucca,2018-07-24 05:07:25,2018-07-24 05:07:25
Observar_,delucca,2018-07-24 05:07:14,2018-07-24 05:07:14
Observar_,delucca,2018-07-24 05:07:06,2018-07-24 05:07:06
Observar_,cyrusafa,2018-07-24 05:06:55,2018-07-24 05:06:55
Observar_,delucca,2018-07-24 05:06:43,2018-07-24 05:06:43
Observar_,delucca,2018-07-24 05:06:32,2018-07-24 05:06:32
pestodeboldo,delucca,2018-07-24 05:06:18,2018-07-24 05:06:18
Observar_,delucca,2018-07-24 05:06:16,2018-07-24 05:06:16
pestodeboldo,delucca,2018-07-24 05:06:05,2018-07-24 05:06:05
Observar_,cyrusafa,2018-07-24 05:05:56,2018-07-24 05:05:56
jussapreta,delucca,2018-07-24 05:05:43,2018-07-24 05:05:43
CSilvaPry,cyrusafa,2018-07-24 05:04:29,2018-07-24 05:04:29
fsouzabraga,delucca,2018-07-24 05:02:25,2018-07-24 05:02:25
amandaramalhos,cyrusafa,2018-07-24 05:00:32,2018-07-24 05:00:32
DanniGoulart,delucca,2018-07-24 05:00:18,2018-07-24 05:00:18
didi_forelsket,delucca,2018-07-24 04:59:39,2018-07-24 04:59:39
fabiosoares4444,delucca,2018-07-24 04:58:07,2018-07-24 04:58:07
mihannud,delucca,2018-07-24 04:57:59,2018-07-24 04:57:59
fabiosoares4444,delucca,2018-07-24 04:57:59,2018-07-24 04:57:59
fabiosoares4444,delucca,2018-07-24 04:57:52,2018-07-24 04:57:52
fabiosoares4444,delucca,2018-07-24 04:57:45,2018-07-24 04:57:45
fabiosoares4444,delucca,2018-07-24 04:57:38,2018-07-24 04:57:38
fabiosoares4444,delucca,2018-07-24 04:57:25,2018-07-24 04:57:25
fabiosoares4444,delucca,2018-07-24 04:57:04,2018-07-24 04:57:04
fabiosoares4444,delucca,2018-07-24 04:56:44,2018-07-24 04:56:44
ariadnesabrinac,delucca,2018-07-24 04:56:40,2018-07-24 04:56:40
fabiosoares4444,delucca,2018-07-24 04:56:23,2018-07-24 04:56:23
Ahasuerus_I_,delucca,2018-07-24 04:55:25,2018-07-24 04:55:25
gabriolv,delucca,2018-07-24 04:54:46,2018-07-24 04:54:46
Minduinn,delucca,2018-07-24 04:54:43,2018-07-24 04:54:43
waasantista,delucca,2018-07-24 04:52:52,2018-07-24 04:52:52
malungorei,delucca,2018-07-24 04:52:05,2018-07-24 04:52:05
_RodrigoMoura_,LeomarCLima,2018-07-24 04:51:53,2018-07-24 04:51:53
jrrosado,delucca,2018-07-24 04:51:04,2018-07-24 04:51:04
jrrosado,cyrusafa,2018-07-24 04:50:23,2018-07-24 04:50:23
